id,name,kind,state
1,醋酸可的松注射液,5,0
2,黄瓜猪肉水饺,7,0
3,紫菜鸡蛋莲草汤,7,0
4,盐酸吗啉胍片,5,0
5,鹅肉,6,0
6,鸭肝,6,0
7,华润紫竹达那唑胶囊(达那唑胶囊),13,0
8,焦作福瑞堂血尿胶囊(血尿胶囊),13,0
9,广东国医堂安胎丸(安胎丸),13,0
10,鲁南小儿消积止咳口服液(小儿消积止咳口服液),13,0
11,沈阳津昌利巴韦林颗粒(利巴韦林颗粒),13,0
12,天津太平洋氨咖甘片(氨咖甘片),13,0
13,辽宁泰兴硬脂酸红霉素片(硬脂酸红霉素片),13,0
14,达那唑胶囊,12,0
15,涂片,3,0
16,核酸检测,3,0
17,尿路平片,3,0
18,康复治疗,11,0
19,玉米冬瓜粥,7,0
20,恒健制药维生素B1片(维生素B1片),13,0
21,玫满(盐酸米诺环素胶囊),13,0
22,蒸肝鸡蛋羹,7,0
23,长春长红盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),13,0
24,哈药总厂托西酸舒他西林胶囊(托西酸舒他西林胶囊),13,0
25,杭州民生药业螺内酯片(螺内酯片),13,0
26,补肾斑龙片,2,0
27,拌马兰头,7,0
28,小儿急性支气管炎,1,0
29,外阴部妇科常规检查,3,0
30,肺水肿,9,0
31,甲泼尼龙片,2,0
32,制剂中间体,5,0
33,过敏性肺炎,1,0
34,鸡肉,6,0
35,宝庆六味地黄丸(六味地黄丸),13,0
36,珠海联邦阿莫西林胶囊(阿莫西林胶囊),13,0
37,苹果生菜酸奶汁,7,0
38,痰液细菌涂片检查,3,0
39,国发制药养血安神片(养血安神片),13,0
40,颐生堂维生素B1片(维生素B1片),13,0
41,草莓果汁,7,0
42,阿比多尔,12,0
43,依托红霉素片,12,0
44,药敏试验,3,0
45,威利宁(利巴韦林片),13,0
46,C-反应蛋白检验（CRP）,3,0
47,皇象铁力蓝天盐酸环丙沙星片(盐酸环丙沙星片),13,0
48,白山市长白山降脂宁颗粒(降脂宁颗粒),13,0
49,猕猴桃香蕉奶酪汁,7,0
50,心包积液,4,0
51,山西津华晖星盐酸吗啉胍片(盐酸吗啉胍片),13,0
52,尿道刺痒,4,0
53,支气管肺炎,9,0
54,上海现代阿奇霉素干混悬剂(阿奇霉素干混悬剂),13,0
55,番茄洋葱芹菜汁,7,0
56,隋静,4,0
57,心绞痛,4,0
58,猪肉(瘦),6,0
59,尼克美诺氟沙星胶囊(诺氟沙星胶囊),13,0
60,达那唑胶囊,2,0
61,益心酮片,5,0
62,千金保孕丸,12,0
63,凝集实验,3,0
64,辣椒(青、尖),8,0
65,安徽城市药业琥乙红霉素片(琥乙红霉素片),13,0
66,成都一药醋酸可的松片(醋酸可的松片),13,0
67,辛辣食物,8,0
68,妇产科,10,0
69,广西灵峰蛇胆川贝液(蛇胆川贝液),13,0
70,鸡肉鱼片枸杞豆腐汤,7,0
71,栗子（熟）,8,0
72,化毒丹,5,0
73,养血安神片,5,0
74,乐其中益肾灵颗粒(益肾灵颗粒),13,0
75,兰花药业诺氟沙星胶囊(诺氟沙星胶囊),13,0
76,南光注射用甲泼尼龙琥珀酸钠(注射用甲泼尼龙琥珀酸钠),13,0
77,仁和堂利巴韦林含片(利巴韦林含片),13,0
78,豆腐,6,0
79,鸭肉,6,0
80,对乙酰氨基酚栓,12,0
81,甲硝唑片,5,0
82,"抗神经元核抗体(Hu,Ri)",3,0
83,明水药业头孢氨苄甲氧苄啶片(头孢氨苄甲氧苄啶片),13,0
84,依科制药维生素B1片(维生素B1片),13,0
85,上海通用药业肝素钠维E乳膏(肝素钠维E乳膏),13,0
86,氧疗,11,0
87,太阳岛药业麝香壮骨膏(麝香壮骨膏),13,0
88,对症治疗,11,0
89,成都锦华土霉素片(土霉素片),13,0
90,胡萝卜苦瓜汁,7,0
91,通宣理肺丸,5,0
92,阿比多尔,2,0
93,赤小豆,8,0
94,依托红霉素片,2,0
95,子宫内膜炎,9,0
96,泛发性红色斑块,4,0
97,咯血,4,0
98,衣原体检查法,3,0
99,大株红景天胶囊,5,0
100,长春高新制药克拉霉素胶囊(克拉霉素胶囊),13,0
101,神经系统检查,3,0
102,菠菜虾米汤,7,0
103,黑龙江葵花药业小儿肺热咳喘(小儿肺热咳喘口服液),13,0
104,地塞米松,12,0
105,心包炎,4,0
106,颅脑CT检查,3,0
107,高血压,9,0
108,罗红霉素胶囊,5,0
109,信谊天平利巴韦林片(利巴韦林片),13,0
110,肾功能衰竭,4,0
111,干煸青椒苦瓜,7,0
112,三联征,4,0
113,石淋通颗粒,5,0
114,千金保孕丸,2,0
115,浙江普洛康川贝清肺糖浆(川贝清肺糖浆),13,0
116,匹多莫德颗粒剂,5,0
117,扫描电子显微镜,3,0
118,盐酸多西环素片,5,0
119,蘑菇木耳西兰花腐竹汤,7,0
120,试管凝集试验,3,0
121,血红蛋白尿,4,0
122,妊娠合并支原体感染,1,0
123,中成药,5,0
124,银力舒(头孢丙烯分散片),13,0
125,宋儿七鞭回春乐胶囊(七鞭回春乐胶囊),13,0
126,钼靶X线检查,3,0
127,芦笋胡萝卜汁,7,0
128,花生牛奶炖银耳,7,0
129,养阴清肺口服液,5,0
130,信谊醋酸泼尼松片(醋酸泼尼松片),13,0
131,脉搏细速,4,0
132,支原体肺炎,1,0
133,对乙酰氨基酚栓,2,0
134,氧分压,3,0
135,鸡蛋,6,0
136,气滞血瘀,4,0
137,绿豆南瓜汤,7,0
138,鸡冠白菜,7,0
139,山西云鹏制药羧甲司坦片(羧甲司坦片),13,0
140,江苏吴中医药阿比多尔片/胶囊(阿比多尔),13,0
141,免疫电泳,3,0
142,利君制药阿奇霉素分散片(阿奇霉素分散片),13,0
143,蛋花番茄面,7,0
144,激发试验,3,0
145,消化道出血,9,0
146,妊娠合并自身免疫性溶血性贫血,1,0
147,菜瓜,6,0
148,福邦药业阿奇霉素胶囊(阿奇霉素胶囊),13,0
149,参茸酒,5,0
150,Optochin敏感试验,3,0
151,旺林堂对乙酰氨基酚片(对乙酰氨基酚片),13,0
152,双蚁祛湿通络胶囊,12,0
153,奇灵药业麝香壮骨膏(麝香壮骨膏),13,0
154,心脏病,9,0
155,环孢素口服溶液,5,0
156,搏沃欣(头孢泊肟酯胶囊),13,0
157,慢性咽炎,9,0
158,重庆华邦制药注射用甲泼尼龙(注射用甲泼尼龙琥珀酸钠),13,0
159,亚宝力维(甲钴胺片),13,0
160,浙江家和琥乙红霉素片(琥乙红霉素片),13,0
161,乙酰麦迪霉素干混悬剂,5,0
162,体液免疫检测法,3,0
163,盐酸左氧氟沙星胶囊,2,0
164,气短,4,0
165,反复感染,4,0
166,成都第一复方四环素泼尼松膜(复方四环素泼尼松膜),13,0
167,外科,10,0
168,白云山光华达那唑胶囊(达那唑胶囊),13,0
169,龙虾,8,0
170,通脉颗粒,12,0
171,江西海尔思喷托维林氯化铵糖(喷托维林氯化铵糖浆),13,0
172,甘露聚糖肽胶囊,5,0
173,消食退热糖浆,5,0
174,河南全宇甘露聚糖肽口服溶液(甘露聚糖肽口服溶液),13,0
175,拌丝瓜,7,0
176,收缩期和舒张期杂音,4,0
177,生芦根粥,7,0
178,安诺药业阿奇霉素分散片(阿奇霉素分散片),13,0
179,河虾,8,0
180,痰液中分泌型IgE,3,0
181,扬子江药业黄芪精(黄芪精),13,0
182,心内膜炎,9,0
183,大连美罗硬脂酸红霉素片(硬脂酸红霉素片),13,0
184,羊肉汤面,7,0
185,正清制药利巴韦林片(利巴韦林片),13,0
186,协和制药血尿胶囊(血尿胶囊),13,0
187,再造生血片,5,0
188,金银花粥,7,0
189,银杏叶片,5,0
190,维奥制药克拉霉素胶囊(克拉霉素胶囊),13,0
191,阿奇霉素干混悬剂,5,0
192,有核红细胞,3,0
193,硬脂酸红霉素片,12,0
194,水果什锦奶羹,7,0
195,双蚁祛湿通络胶囊,2,0
196,大活络丸,5,0
197,肉片粥,7,0
198,扁桃体充血,4,0
199,肌痛,4,0
200,诺顿制药阿莫西林胶囊(阿莫西林胶囊),13,0
201,大冢制药盐酸氨溴索口服溶液(盐酸氨溴索口服溶液),13,0
202,核桃,8,0
203,肺含水量增加,4,0
204,紫菜猴头清汤,7,0
205,芹菜牛肉,7,0
206,超级影像,3,0
207,小儿热咳口服液,5,0
208,特普欣(盐酸头孢他美酯片),13,0
209,华润紫竹醋酸可的松片(醋酸可的松片),13,0
210,葵花药业利巴韦林颗粒(利巴韦林颗粒),13,0
211,林梅清盐酸多西环素胶囊(盐酸多西环素胶囊),13,0
212,豆泡油菜,7,0
213,耳、鼻、咽拭子细菌培养,3,0
214,山药南瓜粥,7,0
215,人民药业小儿肺咳颗粒(小儿肺咳颗粒),13,0
216,产后发热,4,0
217,通脉颗粒,2,0
218,旺龙药业琥乙红霉素颗粒(琥乙红霉素颗粒),13,0
219,三七活血丸,5,0
220,鲫鱼粥,7,0
221,面肥,8,0
222,痰液的一般性状检查,3,0
223,先奎莎(加替沙星片),13,0
224,反复发作右肺感染,4,0
225,杂粮粥,7,0
226,湖北东信阿昔洛韦乳膏(阿昔洛韦乳膏),13,0
227,泌尿生殖系滴虫病,1,0
228,盐酸左氧氟沙星胶囊,5,0
229,腱反射消失,4,0
230,明善堂清热消炎宁片(清热消炎宁片),13,0
231,锋替新(注射用盐酸头孢替安),13,0
232,硬脂酸红霉素片,2,0
233,儿童支气管镜检查,3,0
234,赤小豆鲤鱼汤,7,0
235,花生,6,0
236,茭白猪肉粥,7,0
237,海神同洲克拉霉素胶囊(克拉霉素胶囊),13,0
238,四川金山禅心硬脂酸红霉素片(硬脂酸红霉素片),13,0
239,成都菊乐硬脂酸红霉素片(硬脂酸红霉素片),13,0
240,血小板减少性紫癜,9,0
241,辅仁药业阿奇霉素片(阿奇霉素片),13,0
242,三鲜苦瓜汤,7,0
243,星昊医药甲钴胺片(甲钴胺片),13,0
244,信谊赖氨酸维B12颗粒(赖氨酸维B12颗粒),13,0
245,山西振东诺氟沙星胶囊(诺氟沙星胶囊),13,0
246,白菜姜葱汤,7,0
247,北京同仁堂天王补心丸(天王补心丸),13,0
248,素炒空心菜,7,0
249,盛辉药业麝香壮骨膏(麝香壮骨膏),13,0
250,信谊螺内酯片(螺内酯片),13,0
251,珍珠笋番茄蘑菇汤,7,0
252,感觉障碍,4,0
253,头孢氨苄胶囊,5,0
254,衣原体肺炎,1,0
255,大连药业克拉霉素胶囊(克拉霉素胶囊),13,0
256,尿道口有红斑和水肿,4,0
257,新乡恒久远利巴韦林片(利巴韦林片),13,0
258,升和药业乳酸左氧氟沙星分散(乳酸左氧氟沙星分散片),13,0
259,鹌鹑蛋烧油菜,7,0
260,发烧,4,0
261,达仁堂通宣理肺丸(通宣理肺丸),13,0
262,输卵管炎,9,0
263,益肾液,5,0
264,水果沙拉,7,0
265,变形杆菌肺炎,1,0
266,贝之佳羧甲淀粉钠溶液(羧甲淀粉钠溶液),13,0
267,腹痛,4,0
268,弥可保(甲钴胺片),13,0
269,蛇胆川贝液,5,0
270,肌阵挛,4,0
271,小儿干咳,4,0
272,肺纤维化,4,0
273,局部灼热,4,0
274,天天乐药业蛇胆川贝液(蛇胆川贝液),13,0
275,慢性肾炎,9,0
276,葵花药业得菲尔公司阿奇霉素(阿奇霉素胶囊),13,0
277,白菜烧海参,7,0
278,益肾灵颗粒,12,0
279,汉唐血尿胶囊(血尿胶囊),13,0
280,支持治疗,11,0
281,白菜蛋花粥,7,0
282,维生素B1片,12,0
283,逸舒制药羧甲司坦片(羧甲司坦片),13,0
284,芹菜炒蛋,7,0
285,牛奶大米饭,7,0
286,黑龙江百泰对乙酰氨基酚片(对乙酰氨基酚片),13,0
287,代谢性酸中毒,4,0
288,江西大自然十全大补酒(十全大补酒),13,0
289,苦菜粥,7,0
290,百合双耳鸡蛋羹,7,0
291,敬修堂天王补心丸(天王补心丸),13,0
292,酿豆腐,7,0
293,蛤蚧定喘丸,5,0
294,闫铁,4,0
295,氟康唑胶囊,5,0
296,冰镇甜橙水,7,0
297,脑积水,9,0
298,猩红热样皮疹,4,0
299,冬菇油菜心,7,0
300,头孢丙烯分散片,5,0
301,鸭肝,8,0
302,辛伐他汀片,5,0
303,癫痫,9,0
304,咽痛,4,0
305,福建闽东力捷迅硬脂酸红霉素(硬脂酸红霉素片),13,0
306,参茸卫生丸,5,0
307,康和螺内酯片(螺内酯片),13,0
308,归芪口服液,5,0
309,玉米须菊明茶,7,0
310,静脉炎,9,0
311,贝可(酒石酸托特罗定片),13,0
312,白菜小米卷,7,0
313,鹌鹑蛋,6,0
314,百合炖雪梨,7,0
315,华中药业甘露聚糖肽片(甘露聚糖肽片),13,0
316,西岳制药托西酸舒他西林胶囊(托西酸舒他西林胶囊),13,0
317,圣大（张家口）头孢氨苄甲氧(头孢氨苄甲氧苄啶片),13,0
318,构音障碍,4,0
319,颈静脉怒张,4,0
320,迪瑞制药琥乙红霉素颗粒(琥乙红霉素颗粒),13,0
321,猪肉冬瓜水饺,7,0
322,并发症治疗,11,0
323,广东环球制药对乙酰氨基酚片(对乙酰氨基酚片),13,0
324,安徽圣鹰琥乙红霉素片(琥乙红霉素片),13,0
325,湖南湘中安胎丸(安胎丸),13,0
326,寒战,4,0
327,变应性咳嗽,4,0
328,脓肿,4,0
329,冰糖,8,0
330,江西红星琥乙红霉素片(琥乙红霉素片),13,0
331,广东太安堂安胎丸(安胎丸),13,0
332,益肾灵颗粒,2,0
333,亨瑞达制药维生素B12片(维生素B12片),13,0
334,新达罗(头孢克洛颗粒),13,0
335,冬瓜小豆鲤鱼汤,7,0
336,鸡肉,8,0
337,心肌炎,9,0
338,甘肃益尔茯蒲洗液(茯蒲洗液),13,0
339,注射用磺苄西林钠(注射用磺苄西林钠),13,0
340,新红康(红霉素肠溶胶囊),13,0
341,维生素B1片,2,0
342,大连天宇制药克拉霉素胶囊(克拉霉素胶囊),13,0
343,广东九连山安胎丸(安胎丸),13,0
344,新春都诺氟沙星胶囊(诺氟沙星胶囊),13,0
345,排骨汤,7,0
346,逆行肾盂造影,3,0
347,流鼻涕,4,0
348,白云山医药诺氟沙星胶囊(诺氟沙星胶囊),13,0
349,注射用甲泼尼龙琥珀酸钠(制剂(注射用甲泼尼龙琥珀酸钠(制剂中间体)),13,0
350,天津金耀注射用甲泼尼龙琥珀(注射用甲泼尼龙琥珀酸钠),13,0
351,三文鱼饺,7,0
352,菠菜粥,7,0
353,花生仁（炸）,8,0
354,亚太药业螺内酯片(螺内酯片),13,0
355,皮肤科,10,0
356,广州迈特兴华达那唑胶囊(达那唑胶囊),13,0
357,鸡心,6,0
358,江西芙蓉蛇胆川贝液(蛇胆川贝液),13,0
359,尤金(甲泼尼龙片),13,0
360,河北恒祥扁鹊制药安胎丸(安胎丸),13,0
361,注射用盐酸头孢替安,5,0
362,皮内试验,3,0
363,血尿,9,0
364,奇莫欣(胸腺肽肠溶片),13,0
365,猪脑,8,0
366,山东仁和堂利巴韦林含片(利巴韦林含片),13,0
367,角膜炎,4,0
368,亚宝药业养血安神片(养血安神片),13,0
369,肺气肿,9,0
370,四川国瑞琥乙红霉素片(琥乙红霉素片),13,0
371,生滚草鱼肠粥,7,0
372,心力衰竭,9,0
373,腰背酸痛,4,0
374,荞麦粥,7,0
375,腰膝酸软,4,0
376,鸭肉,8,0
377,白云山三味清热止痒洗剂(三味清热止痒洗剂),13,0
378,白云山医药对乙酰氨基酚片(对乙酰氨基酚片),13,0
379,白云山光华头孢氨苄甲氧苄啶(头孢氨苄甲氧苄啶片),13,0
380,青霉素等抗生素药物治疗,11,0
381,鲁神乙酰螺旋霉素片(乙酰螺旋霉素片),13,0
382,吞咽困难,4,0
383,冷凝集试验,3,0
384,天煌制药胎宝胶囊(胎宝胶囊),13,0
385,哈药诺捷阿奇霉素分散片(阿奇霉素分散片),13,0
386,心动过速,4,0
387,菜花泥子汤,7,0
388,排尿不畅,4,0
389,低钠血症,9,0
390,硬化,4,0
391,血清免疫球蛋白测定,3,0
392,注射用甲泼尼龙琥珀酸钠,5,0
393,江西大自然参茸酒(参茸酒),13,0
394,平光制药红霉素肠溶片(红霉素肠溶片),13,0
395,支气管肺炎,1,0
396,阿昔洛韦缓释片,5,0
397,柠檬色痰,4,0
398,小儿珍贝散,5,0
399,广东万年青健儿清解液(健儿清解液),13,0
400,红霉素肠溶片,5,0
401,小儿发烧后身上起红点,4,0
402,海南海力小儿咳喘灵颗粒(小儿咳喘灵颗粒),13,0
403,湿啰音,4,0
404,山西华康小儿咳喘灵颗粒(小儿咳喘灵颗粒),13,0
405,华润三九小儿咳喘灵颗粒(小儿咳喘灵颗粒),13,0
406,肺结核,9,0
407,甘肃成纪生物盐酸金刚烷胺糖(盐酸金刚烷胺糖浆),13,0
408,吉林中研三七活血丸(三七活血丸),13,0
409,洋葱,8,0
410,太极集团小儿止咳糖浆(小儿止咳糖浆),13,0
411,红桃蜜,7,0
412,呼吸科,10,0
413,太极集团益心酮片(益心酮片),13,0
414,药物对症治疗为主，早期可能需要激素治疗,11,0
415,瑞德西韦,5,0
416,木耳鸭肝烩,7,0
417,心包积液,9,0
418,振东泰盛注射用头孢唑肟钠(注射用头孢唑肟钠),13,0
419,结节,4,0
420,血液检查,3,0
421,儿科综合,10,0
422,南光化学注射用甲泼尼龙琥珀(注射用甲泼尼龙琥珀酸钠),13,0
423,遂成药业诺氟沙星胶囊(诺氟沙星胶囊),13,0
424,北京曙光羧甲司坦片(羧甲司坦片),13,0
425,仁和药业对乙酰氨基酚片(对乙酰氨基酚片),13,0
426,胰蛋白酶,3,0
427,云南曲靖清肺抑火片(清肺抑火片),13,0
428,万通药业（梅河）小儿消咳片(小儿消咳片),13,0
429,大连天宇硬脂酸红霉素片(硬脂酸红霉素片),13,0
430,萝卜豆腐汤,7,0
431,天津力生制药氨咖甘片(氨咖甘片),13,0
432,湖北盛通雪梨膏(雪梨膏),13,0
433,一正药业天麻胶囊(天麻胶囊),13,0
434,江西诚志永丰蛇胆川贝液(蛇胆川贝液),13,0
435,武汉生物抗人T细胞猪免疫球(抗人T细胞猪免疫球蛋白),13,0
436,T4/T8比值,3,0
437,新生儿手足徐动,4,0
438,面色苍白,4,0
439,百合薏米绿豆粥,7,0
440,固本回元口服液,5,0
441,莲子,6,0
442,葵花子仁,6,0
443,心包纤维增厚,4,0
444,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),13,0
445,发热,4,0
446,氧氟沙星片,5,0
447,陕西京西醋酸可的松片(醋酸可的松片),13,0
448,静息显像,3,0
449,泛细支气管炎,1,0
450,痰液性状,3,0
451,浙江大德胚宝胶囊(胚宝胶囊),13,0
452,鼻出血,4,0
453,茯蒲洗液,5,0
454,纤毛上皮细胞损伤脱落,4,0
455,急支糖浆,5,0
456,尿内出现蛋白及管型,4,0
457,苹果甘蔗番茄汁,7,0
458,川贝炖雪梨,7,0
459,咳嗽,4,0
460,肾病类尿常规,3,0
461,南瓜粥,7,0
462,太极集团急支糖浆(急支糖浆),13,0
463,抗感染及止咳平喘等对症及支持治疗,11,0
464,海蟹,8,0
465,白细胞分类计数,3,0
466,石药集团阿比多尔片/胶囊(阿比多尔),13,0
467,克拉霉素胶囊,5,0
468,赣南制药喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),13,0
469,肾功能衰竭,9,0
470,龟芪壮骨颗粒,5,0
471,血压下降,4,0
472,卫生材料药业麝香壮骨膏(麝香壮骨膏),13,0
473,通化兴华苯妥英钠片(苯妥英钠片),13,0
474,肺泡炎症,4,0
475,肺泡气-动脉血氧分压差,3,0
476,山药枸杞粥,7,0
477,麝香壮骨膏,5,0
478,急性特发性心包炎,1,0
479,康美药业诺氟沙星胶囊(诺氟沙星胶囊),13,0
480,健生制药对乙酰氨基酚片(对乙酰氨基酚片),13,0
481,罗红霉素分散片,12,0
482,东方龙大活络丸(大活络丸),13,0
483,干咳,4,0
484,冬瓜粒杂锦汤,7,0
485,胡萝卜苹果汁,7,0
486,小儿咳喘灵口服液,5,0
487,鸡蛋松,7,0
488,尿痛,4,0
489,珊瑚白菜墩,7,0
490,肾功能检查,3,0
491,台城制药对乙酰氨基酚片(对乙酰氨基酚片),13,0
492,颐生堂诺氟沙星胶囊(诺氟沙星胶囊),13,0
493,自身免疫性溶血性贫血,1,0
494,彼迪药业阿奇霉素分散片(阿奇霉素分散片),13,0
495,喷托维林氯化铵糖浆,12,0
496,锦州本天盐酸金刚烷胺糖浆(盐酸金刚烷胺糖浆),13,0
497,重组人粒细胞刺激因子注射液,5,0
498,盐酸环丙沙星片,5,0
499,痰液病原体检查,3,0
500,牛奶麦片蜜枣粥,7,0
501,成都天台山制药诺氟沙星胶囊(诺氟沙星胶囊),13,0
502,五子衍宗丸,5,0
503,血液科,10,0
504,白果（鲜）,6,0
505,淋巴结肿大,4,0
506,香椿炒鸡蛋,7,0
507,盛翔制药蛇胆川贝液(蛇胆川贝液),13,0
508,腺苷钴胺片,5,0
509,化脓性关节炎,9,0
510,河南新谊药业芪参胶囊(芪参胶囊),13,0
511,清热消炎宁片,12,0
512,小儿支气管扩张,9,0
513,细菌性肺炎,1,0
514,金耀药业注射用甲泼尼龙琥珀(注射用甲泼尼龙琥珀酸钠),13,0
515,鱼烧豆腐,7,0
516,孕妇小腹痛,4,0
517,小儿消咳片,5,0
518,玉米须粥,7,0
519,肺炎衣原体感染,1,0
520,国药集团地塞米松片/注射液(地塞米松),13,0
521,骶髂关节炎,9,0
522,支气管哮喘,9,0
523,黑芝麻,6,0
524,鼠疫样皮损,4,0
525,琥乙红霉素片,12,0
526,国瑞琥乙红霉素片(琥乙红霉素片),13,0
527,大连天宇阿奇霉素干混悬剂(阿奇霉素干混悬剂),13,0
528,罗红霉素分散片,2,0
529,天津力生制药硫酸沙丁胺醇片(硫酸沙丁胺醇片),13,0
530,低血压,9,0
531,门冬氨酸钙口服溶液,5,0
532,稽留热,4,0
533,复方苁蓉补肾合剂,5,0
534,肺实变,4,0
535,动态心电图（Holter监测）,3,0
536,克隆雷克拉霉素分散片(克拉霉素分散片),13,0
537,对乙酰氨基酚片,12,0
538,头晕,4,0
539,素炒菠菜,7,0
540,夜间盗汗,4,0
541,广东南国盐酸吗啉胍片(盐酸吗啉胍片),13,0
542,芹菜,6,0
543,羚锐卫生麝香壮骨膏(麝香壮骨膏),13,0
544,万通消糜栓(消糜栓),13,0
545,皮肤性病科,10,0
546,食欲减退,4,0
547,罗汉果止咳糖浆,5,0
548,脱氧核苷酸钠注射液,5,0
549,成都利尔甘露聚糖肽口服溶液(甘露聚糖肽口服溶液),13,0
550,腹痛伴休克,4,0
551,头孢氨苄甲氧苄啶片,2,0
552,山东仁和利巴韦林颗粒(利巴韦林颗粒),13,0
553,清热消炎宁片,2,0
554,意识模糊,4,0
555,替硝唑胶囊,5,0
556,海王福药阿莫西林胶囊(阿莫西林胶囊),13,0
557,肺部感染,4,0
558,荔枝山药粥,7,0
559,亨瑞达制药利巴韦林含片(利巴韦林含片),13,0
560,君维清(阿奇霉素分散片),13,0
561,贵州飞云岭甲硝唑片(甲硝唑片),13,0
562,化学性支气管炎,4,0
563,Q热,1,0
564,黄芪精,5,0
565,苦瓜猪瘦肉汤,7,0
566,双唑泰泡腾片,5,0
567,产后泌尿道感染,1,0
568,产后全身酸痛,4,0
569,嗳气,4,0
570,天强制药炎立消胶囊(炎立消胶囊),13,0
571,琥乙红霉素片,2,0
572,直接涂片检查,3,0
573,枸杞子牛肝汤,7,0
574,羧甲司坦片,2,0
575,必理通(对乙酰氨基酚片),13,0
576,浙江亚东制药阿莫西林胶囊(阿莫西林胶囊),13,0
577,浙江京新琥乙红霉素片(琥乙红霉素片),13,0
578,时蔬小豆腐,7,0
579,综合治疗,11,0
580,药物治疗,11,0
581,珊瑚白菜,7,0
582,肺炎支原体寒冷凝集试验,3,0
583,鼻翼扇动,4,0
584,狗肉,8,0
585,恶性胸水,4,0
586,对乙酰氨基酚片,2,0
587,民济药业小儿珍贝散(小儿珍贝散),13,0
588,非特异性间质肺炎,1,0
589,腐竹,8,0
590,利巴韦林片,12,0
591,心音低钝,4,0
592,杭州老桐君小儿咳喘灵口服液(小儿咳喘灵口服液),13,0
593,德康制药清热消炎宁片(清热消炎宁片),13,0
594,上海新亚头孢克肟分散片(头孢克肟分散片),13,0
595,阿斯卡(门冬氨酸钙口服溶液),13,0
596,盗汗,4,0
597,阿奇霉素分散片,12,0
598,小儿咳喘灵颗粒,5,0
599,咳铁锈色痰,4,0
600,江米酒,8,0
601,党参百合粥,7,0
602,膀胱镜,3,0
603,信谊布地奈德气雾剂(布地奈德气雾剂),13,0
604,胸部MRI,3,0
605,香炖羊肉,7,0
606,云南云河清肺抑火片(清肺抑火片),13,0
607,河南辅仁堂替硝唑阴道泡腾片(替硝唑阴道泡腾片),13,0
608,发热伴寒战,4,0
609,花生杏仁粥,7,0
610,流泪,4,0
611,禾邦阳光八珍颗粒(八珍颗粒),13,0
612,气道过敏试验,3,0
613,罗欣药业注射用盐酸头孢替安(注射用盐酸头孢替安),13,0
614,江苏联环罗红霉素胶囊(罗红霉素胶囊),13,0
615,聚甲酚磺醛阴道栓,5,0
616,南瓜,6,0
617,尿液氨水味,4,0
618,多器官功能衰竭,9,0
619,川抗环孢素口服溶液(环孢素口服溶液),13,0
620,头孢拉定胶囊,5,0
621,代超,4,0
622,江西赣南喷托维林氯化铵糖浆(喷托维林氯化铵糖浆),13,0
623,上海卫材关节止痛膏(关节止痛膏),13,0
624,呼吸内科,10,0
625,头孢氨苄甲氧苄啶片,5,0
626,瑞年前进制药螺内酯片(螺内酯片),13,0
627,鼎炉八宝丹胶囊(八宝丹胶囊),13,0
628,占思乔,4,0
629,鲜竹沥,5,0
630,嗜酸性粒细胞增多,4,0
631,尿中寄生虫检查,3,0
632,东信药业蛇胆川贝液(蛇胆川贝液),13,0
